Month/Year,Open,High,Low,Last,Change,Settle,Estimated Volume,Prior Day Open Interest
OCT 2012,96.67,97.72,94.41,,-0.68,95.47,"224,443","276,726"
NOV 2012,96.9,97.98,94.73,,-0.66,95.79,"59,795","153,064"
DEC 2012,97.2,98.27,95.08,,-0.63,96.16,"58,983","197,883"
JAN 2013,97.86,98.64,95.54,,-0.61,96.59,"13,906","110,337"
FEB 2013,98.1,98.71,95.89,,-0.58,96.91,"6,527","42,238"
MAR 2013,98.25,99.01B,96.18,,-0.56,97.07,"11,068","54,574"
APR 2013,98.58,98.58,96.15,,-0.55,97.03,"3,141","23,315"
MAY 2013,98.43,98.51,96.29,,-0.53,96.88,"3,284","21,385"
JUN 2013,98.53,98.53,95.66,,-0.52,96.65,"15,484","78,797"
JUL 2013,97.86,97.86,96.24A,,-0.5,96.38,"1,455","27,731"
AUG 2013,95.73,95.73,95.73,,-0.47,96.08,959,"17,848"
SEP 2013,,,,,-0.43,95.78,"1,586","27,495"
OCT 2013,,,,,-0.4,95.48,767,"14,682"
NOV 2013,94.97,94.97,94.42A,,-0.38,95.19,506,"19,284"
DEC 2013,95.92,96.19,93.96,,-0.34,94.91,"16,260","149,619"
JAN 2014,,,,,-0.32,94.5,503,"20,129"
FEB 2014,,,,,-0.29,94.15,47,"7,446"
MAR 2014,,,,,-0.26,93.79,104,"11,314"
APR 2014,,,,,-0.22,93.44,,"6,433"
MAY 2014,,,,,-0.18,93.11,11,"3,884"
JUN 2014,,,,,-0.16,92.78,743,"38,697",,,,,-0.14,92.39,70,"2,934"
AUG 2014,,,,,-0.12,92.05,,"2,836"
SEP 2014,,,,,-0.11,91.75,,"14,562"
OCT 2014,,,,,-0.09,91.48,,"2,399"
NOV 2014,,,,,-0.06,91.25,,"3,618"
DEC 2014,91.98,92.04,90.17,,-0.03,91.06,"2,446","78,580"
JAN 2015,,,,,-0.02,90.73,4,"1,860"
FEB 2015,,,,,UNCH,90.41,4,602
MAR 2015,,,,,0.02,90.09,,"2,627"
APR 2015,,,,,0.04,89.8,,122
MAY 2015,,,,,0.07,89.52,,23
JUN 2015,,,,,0.11,89.28,11,"6,992"
JUL 2015,,,,,0.13,89.04,,424
AUG 2015,,,,,0.16,88.81,,122
SEP 2015,,,,,0.18,88.61,,525
OCT 2015,,,,,0.2,88.41,,25
NOV 2015,,,,,0.22,88.22,,"1,515"
DEC 2015,87.6,88.14,87.6,,0.24,88.04,424,"40,511"
JAN 2016,,,,,0.25,87.84,,"1,512"
FEB 2016,,,,,0.26,87.65,,1
MAR 2016,,,,,0.27,87.46,,509
APR 2016,,,,,0.28,87.29,,8
MAY 2016,,,,,0.29,87.13,,10
JUN 2016,,,,,0.31,86.98,,796
JUL 2016,,,,,0.33,86.83,,8
AUG 2016,,,,,0.34,86.68,,9
SEP 2016,,,,,0.35,86.53,,7
OCT 2016,,,,,0.36,86.39,,7
NOV 2016,,,,,0.37,86.25,,9
DEC 2016,85.4,85.85,85.01,,0.38,86.12,61,"17,469"
JAN 2017,,,,,0.38,86.04,,14
FEB 2017,,,,,0.39,85.97,,3
MAR 2017,,,,,0.4,85.9,,6
APR 2017,,,,,0.4,85.83,,
MAY 2017,,,,,0.41,85.77,,6
JUN 2017,,,,,0.42,85.71,,109
JUL 2017,,,,,0.42,85.65,,6
AUG 2017,,,,,0.43,85.6,,
SEP 2017,,,,,0.44,85.55,,6
OCT 2017,,,,,0.45,85.5,,
NOV 2017,,,,,0.46,85.45,,6
DEC 2017,,,,,0.46,85.4,11,"9,845"
JUN 2018,,,,,0.46,85.29,,240
DEC 2018,,,,,0.46,85.18,1,"4,941"
JUN 2019,,,,,0.46,85.12,,
DEC 2019,,,,,0.46,85.06,,"2,923"
JUN 2020,,,,,0.46,85.03,,
DEC 2020,,,,,0.46,85,,374
